Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,DateTime,dayOfWeek,busyness_(%),Rain_(mm)
foreigner ,male,thin,36.0,yes,young,big,white,traditional,blue,long sleeve,blue,long,clothes,3,8,no,11.0,5.0,18.0,2.914694009,101.7422189,3.0,2015-11-27 21:10:54,Friday,50,10.21
chinese,male,moderate,44.0,no,no_kids,big,red,casual,yellow,short_sleeve,blue_jeans,long,clothes,6,8,no,51.0,0.0,13.0,2.904113181,101.7432741,1.0,2015-11-27 21:15:59,Friday,50,10.21
chinese,male,fat,31.0,no,no_kids,big,red,casual,blue,short_sleeve,black,long,clothes,3,8,yes,32.0,2.0,11.0,2.961100409,101.7171551,1.0,2015-11-27 21:15:59,Friday,50,10.21
indian,female,moderate,32.0,yes,toddler,big,pink,casual,black,short_sleeve,black,long,clothes,3,10,no,31.0,4.0,18.0,2.968705113,101.7392521,3.0,2015-11-27 21:27:10,Friday,50,10.21
malay,female,fat,28.0,yes,toddler,big,red,traditional,white,long sleeve,white,long,blankets,6,7,yes,14.0,5.0,14.0,2.932310486,101.743989,3.0,2015-11-27 21:46:58,Friday,50,10.21
chinese,male,fat,35.0,no,no_kids,big,white,casual,black,short_sleeve,blue_jeans,long,blankets,3,7,no,60.0,1.0,19.0,2.925268679,101.7151731,2.0,2015-11-27 22:01:50,Friday,65,10.21
chinese,male,moderate,38.0,no,no_kids,big,white,casual,yellow,short_sleeve,blue_jeans,long,clothes,5,8,no,20.0,0.0,18.0,2.917111664,101.7310001,3.0,2015-11-27 22:32:42,Friday,65,10.21
chinese,male,fat,49.0,no,no_kids,big,red,casual,blue,short_sleeve,black,long,clothes,3,9,yes,45.0,3.0,11.0,2.944453456,101.7435609,1.0,2015-11-27 22:32:42,Friday,65,10.21
indian,female,moderate,44.0,yes,toddler,big,pink,casual,white,short_sleeve,black,long,clothes,3,7,no,20.0,4.0,7.0,2.969998307,101.6339914,1.0,2015-11-27 22:32:42,Friday,65,10.21
chinese,male,moderate,52.0,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,4,8,no,29.0,2.0,14.0,2.905094343,101.7404702,1.0,2015-11-27 22:44:34,Friday,65,10.21
chinese,male,thin,50.0,no,no_kids,big,white,formal,white,short_sleeve,black,long,clothes,6,9,no,34.0,0.0,19.0,2.970460976,101.6459418,1.0,2015-11-27 22:49:09,Friday,65,10.21
chinese,female,moderate,38.0,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,short,clothes,4,10,no,49.0,1.0,12.0,2.934090509,101.6870992,1.0,2015-11-27 22:49:09,Friday,65,10.21
indian,male,moderate,52.0,no,no_kids,big,red,casual,red,short_sleeve,black,short,clothes,5,7,no,26.0,2.0,21.0,2.95732304,101.6860318,3.0,2015-11-27 22:49:09,Friday,65,10.21
foreigner ,female,fat,51.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,blankets,5,9,no,57.0,5.0,10.0,2.954757069,101.6286753,2.0,2015-11-27 22:58:50,Friday,65,10.21
indian,female,moderate,52.0,no,no_kids,big,blue,casual,white,short_sleeve,white,long,clothes,5,7,no,24.0,2.0,11.0,2.910133541,101.6716219,1.0,2015-11-27 22:58:50,Friday,65,10.21
foreigner ,male,moderate,32.0,no,no_kids,big,blue,casual,red,short_sleeve,black,short,clothes,3,9,no,55.0,0.0,20.0,2.907425896,101.6739155,2.0,2015-11-27 23:17:24,Friday,65,10.21
indian,male,moderate,29.0,no,no_kids,big,purple,casual,white,short_sleeve,black,short,blankets,5,9,no,31.0,2.0,11.0,2.942809672,101.7122863,1.0,2015-11-27 23:23:43,Friday,65,10.21
foreigner ,female,moderate,47.0,yes,young,big,blue,casual,black,short_sleeve,black,long,clothes,5,8,no,52.0,3.0,21.0,2.96520119,101.6809331,3.0,2015-11-27 23:23:43,Friday,65,10.21
indian,male,fat,40.0,yes,toddler,big,blue,formal,black,short_sleeve,black,long,clothes,6,7,no,48.0,4.0,21.0,2.903282637,101.6623277,2.0,2015-11-27 23:48:28,Friday,65,10.21
indian,female,fat,44.0,yes,young,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,6,7,no,30.0,5.0,21.0,2.927732002,101.6633547,1.0,2015-11-27 23:50:39,Friday,65,10.21
foreigner ,female,moderate,28.0,no,no_kids,big,red,casual,white,short_sleeve,purple,short,clothes,4,8,no,14.0,3.0,21.0,2.948767186,101.6617312,3.0,2015-11-27 23:50:39,Friday,65,10.21
foreigner ,female,moderate,34.0,no,no_kids,big,red,casual,brown,short_sleeve,pink,long,clothes,5,10,no,24.0,5.0,21.0,2.9099944,101.6879469,3.0,2015-11-27 23:56:22,Friday,65,10.21
chinese,male,thin,43.0,no,no_kids,big,green,casual,orange,short_sleeve,black,long,clothes,5,9,no,25.0,4.0,10.0,2.917751933,101.7094477,3.0,2015-11-27 23:56:22,Friday,65,10.21
chinese,male,fat,55.0,no,no_kids,big,white,casual,brown,short_sleeve,white,short,clothes,4,9,no,31.0,3.0,9.0,2.916405284,101.6858747,2.0,2015-11-28 00:12:04,Saturday,95,10.94
indian,female,moderate,46.0,no,no_kids,big,blue,formal,green,short_sleeve,black,long,clothes,4,9,no,37.0,1.0,19.0,2.914361418,101.7428715,2.0,2015-11-28 00:12:04,Saturday,95,10.94
indian,female,moderate,30.0,no,no_kids,big,green,casual,red,short_sleeve,black,short,clothes,3,9,no,44.0,1.0,10.0,2.942259727,101.7093912,2.0,2015-11-28 00:12:04,Saturday,95,10.94
indian,female,fat,43.0,no,no_kids,big,white,casual,blue,short_sleeve,black,short,clothes,3,9,no,12.0,5.0,21.0,2.914746155,101.6296772,1.0,2015-11-28 00:21:35,Saturday,95,10.94
indian,female,thin,29.0,no,no_kids,big,white,casual,black,short_sleeve,brown,short,clothes,6,9,no,36.0,4.0,19.0,2.919783756,101.6763122,2.0,2015-11-28 00:21:35,Saturday,95,10.94
chinese,male,thin,42.0,no,no_kids,big,purple,casual,red,short_sleeve,white,short,blankets,6,8,no,47.0,1.0,12.0,2.933301166,101.7336638,2.0,2015-11-28 00:26:07,Saturday,95,10.94
chinese,male,thin,55.0,yes,toddler,big,yellow,casual,black,short_sleeve,black,long,clothes,4,9,no,51.0,5.0,21.0,2.94760833,101.6800209,3.0,2015-11-28 00:47:29,Saturday,95,10.94
indian,male,thin,40.0,no,no_kids,big,blue,casual,white,short_sleeve,grey,long,clothes,6,10,no,51.0,3.0,16.0,2.972251655,101.7013543,2.0,2015-11-28 00:47:29,Saturday,95,10.94
malay,female,fat,36.0,no,no_kids,big,yellow,casual,purple,long sleeve,green,long,clothes,3,9,no,48.0,1.0,7.0,2.925714304,101.7105016,2.0,2015-11-28 00:47:29,Saturday,95,10.94
chinese,female,thin,36.0,yes,baby,big,white,casual,red,short_sleeve,black,long,blankets,3,8,no,60.0,5.0,15.0,2.942478632,101.6600064,3.0,2015-11-28 00:53:14,Saturday,95,10.94
indian,male,thin,37.0,yes,young,big,orange,formal,red,short_sleeve,grey,long,clothes,6,9,no,58.0,1.0,8.0,2.937817507,101.7330304,3.0,2015-11-28 00:53:14,Saturday,95,10.94
malay,male,thin,48.0,no,no_kids,small,white,casual,black,short_sleeve,black,long,clothes,4,9,no,13.0,2.0,16.0,2.946975985,101.7462232,3.0,2015-11-28 01:07:40,Saturday,80,10.94
chinese,male,moderate,35.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,10,no,39.0,0.0,10.0,2.96138144,101.6719481,3.0,2015-11-28 01:07:40,Saturday,80,10.94
chinese,female,moderate,44.0,no,no_kids,big,white,casual,white,short_sleeve,red,short,clothes,6,10,no,32.0,5.0,15.0,2.925271717,101.6866045,1.0,2015-11-28 01:46:27,Saturday,80,10.94
foreigner ,male,fat,42.0,no,no_kids,big,red,casual,red,short_sleeve,black,long,blankets,6,7,no,40.0,5.0,9.0,2.938944098,101.6294406,2.0,2015-11-28 03:15:41,Saturday,60,10.94
chinese,female,moderate,37.0,no,no_kids,big,green,casual,red,short_sleeve,black,long,blankets,6,7,no,29.0,4.0,10.0,2.905204264,101.6404512,1.0,2015-11-28 04:36:53,Saturday,70,10.94
indian,female,moderate,49.0,no,no_kids,big,green,casual,red,short_sleeve,red,short,clothes,3,9,no,31.0,0.0,14.0,2.932567874,101.7152646,3.0,2015-11-28 04:36:53,Saturday,70,10.94
chinese,male,thin,42.0,no,no_kids,big,red,casual,black,long sleeve,blue_jeans,long,clothes,4,8,no,38.0,0.0,10.0,2.924511937,101.732014,1.0,2015-11-28 04:39:27,Saturday,70,10.94
indian,male,thin,54.0,no,no_kids,big,white,casual,blue,short_sleeve,blue_jeans,long,blankets,5,7,no,30.0,0.0,7.0,2.918959965,101.695205,2.0,2015-11-28 04:39:27,Saturday,70,10.94
indian,male,moderate,49.0,no,no_kids,big,green,casual,blue,short_sleeve,black,short,clothes,6,10,no,14.0,2.0,7.0,2.973086349,101.7149104,3.0,2015-11-28 05:18:18,Saturday,70,10.94
indian,male,fat,38.0,yes,young,big,red,casual,brown,short_sleeve,blue_jeans,long,clothes,3,10,no,13.0,4.0,15.0,2.952667786,101.6374642,1.0,2015-11-28 08:23:27,Saturday,30,10.94
indian,male,fat,28.0,no,no_kids,big,yellow,casual,yellow,short_sleeve,blue_jeans,long,clothes,3,7,no,49.0,1.0,21.0,2.965767621,101.6398911,2.0,2015-11-28 08:31:26,Saturday,30,10.94
indian,male,fat,30.0,no,no_kids,big,red,casual,white,short_sleeve,grey,long,clothes,4,7,yes,29.0,2.0,9.0,2.929229927,101.6928441,3.0,2015-11-28 08:31:26,Saturday,30,10.94
chinese,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,blue,short,blankets,4,8,no,13.0,5.0,13.0,2.921581535,101.7055129,2.0,2015-11-28 08:38:07,Saturday,30,10.94
foreigner ,male,moderate,33.0,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,3,7,no,39.0,2.0,7.0,2.959954328,101.7246681,3.0,2015-11-28 09:01:39,Saturday,25,10.94
foreigner ,male,fat,42.0,no,no_kids,big,white,casual,orange,short_sleeve,brown,short,blankets,5,7,no,12.0,5.0,19.0,2.927915945,101.6932603,3.0,2015-11-28 09:01:39,Saturday,25,10.94
chinese,male,fat,36.0,yes,young,big,orange,casual,white,short_sleeve,blue,short,clothes,3,8,yes,57.0,5.0,15.0,2.95310346,101.6927764,2.0,2015-11-28 09:07:24,Saturday,25,10.94
malay,female,fat,38.0,yes,toddler,big,red,casual,red,short_sleeve,grey,long,clothes,3,8,no,43.0,4.0,16.0,2.950237161,101.6387785,1.0,2015-11-28 09:30:00,Saturday,25,10.94
chinese,male,moderate,38.0,no,no_kids,big,red,casual,grey,short_sleeve,black,long,clothes,6,8,no,53.0,4.0,10.0,2.945627995,101.7402113,1.0,2015-11-28 10:11:49,Saturday,25,10.94
indian,female,moderate,36.0,no,no_kids,big,green,casual,white,short_sleeve,grey,long,clothes,6,10,no,29.0,5.0,13.0,2.921483673,101.6398965,2.0,2015-11-28 10:29:01,Saturday,25,10.94
indian,female,moderate,43.0,yes,baby,big,white,casual,white,short_sleeve,brown,short,clothes,3,9,no,13.0,3.0,13.0,2.922645674,101.6643563,2.0,2015-11-28 11:02:30,Saturday,25,10.94
indian,female,moderate,37.0,yes,young,big,white,casual,purple,short_sleeve,black,long,clothes,4,8,no,53.0,5.0,12.0,2.932437877,101.6309001,3.0,2015-11-28 11:02:30,Saturday,25,10.94
indian,female,fat,39.0,no,no_kids,big,white,traditional,white,short_sleeve,black,long,blankets,4,8,no,37.0,0.0,10.0,2.959347135,101.7170518,2.0,2015-11-28 11:02:30,Saturday,25,10.94
indian,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,blankets,3,10,no,39.0,1.0,11.0,2.966777948,101.6741101,3.0,2015-11-28 11:02:49,Saturday,25,10.94
chinese,female,moderate,38.0,no,no_kids,big,blue,casual,white,short_sleeve,grey,long,blankets,3,7,no,56.0,2.0,19.0,2.904763127,101.6316718,1.0,2015-11-28 11:02:49,Saturday,25,10.94
chinese,female,fat,42.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,6,7,no,13.0,1.0,8.0,2.924931051,101.6847688,3.0,2015-11-28 11:02:49,Saturday,25,10.94
indian,female,moderate,29.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,blankets,3,7,no,29.0,3.0,7.0,2.967124392,101.7161176,2.0,2015-11-28 11:02:49,Saturday,25,10.94
indian,female,moderate,51.0,yes,young,big,red,casual,white,short_sleeve,black,short,clothes,3,7,no,25.0,5.0,9.0,2.93922722,101.7097454,3.0,2015-11-28 11:03:01,Saturday,25,10.94
chinese,female,moderate,51.0,no,no_kids,big,green,casual,red,short_sleeve,black,long,blankets,4,7,no,47.0,2.0,10.0,2.929132654,101.6695923,3.0,2015-11-28 11:03:01,Saturday,25,10.94
indian,female,fat,36.0,yes,young,big,pink,casual,white,short_sleeve,black,long,blankets,5,10,no,31.0,5.0,11.0,2.91193509,101.6930298,2.0,2015-11-28 11:03:01,Saturday,25,10.94
indian,female,fat,46.0,yes,young,big,pink,casual,white,short_sleeve,black,long,blankets,5,10,no,18.0,1.0,14.0,2.963065577,101.6500891,3.0,2015-11-28 11:03:01,Saturday,25,10.94
chinese,female,moderate,33.0,no,no_kids,big,blue,casual,white,short_sleeve,grey,long,blankets,3,7,no,17.0,2.0,18.0,2.929746815,101.7307794,2.0,2015-11-28 11:03:57,Saturday,25,10.94
chinese,female,fat,46.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,blankets,5,7,no,25.0,0.0,7.0,2.915943763,101.665955,1.0,2015-11-28 11:03:57,Saturday,25,10.94
indian,female,fat,45.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,10,no,40.0,0.0,11.0,2.957260875,101.6683007,3.0,2015-11-28 11:03:57,Saturday,25,10.94
indian,female,moderate,45.0,no,no_kids,big,green,casual,blue,short_sleeve,blue_jeans,short,clothes,5,9,yes,48.0,0.0,21.0,2.949879983,101.6626198,3.0,2015-11-28 11:33:31,Saturday,25,10.94
indian,female,thin,50.0,yes,young,big,white,casual,white,short_sleeve,black,short,blankets,5,7,no,45.0,5.0,13.0,2.916232551,101.6641547,2.0,2015-11-28 12:15:39,Saturday,30,10.94
malay,female,moderate,37.0,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,5,8,no,34.0,1.0,15.0,2.965186824,101.6831585,1.0,2015-11-28 12:22:57,Saturday,30,10.94
foreigner ,female,thin,44.0,yes,baby,big,white,formal,white,long sleeve,black,long,clothes,3,7,yes,48.0,2.0,21.0,2.90333921,101.718155,1.0,2015-11-28 12:50:13,Saturday,30,10.94
indian,female,moderate,40.0,yes,young,big,black,casual,black,short_sleeve,black,short,clothes,3,9,yes,44.0,4.0,14.0,2.918912231,101.6666117,1.0,2015-11-28 12:50:13,Saturday,30,10.94
malay,female,fat,52.0,no,no_kids,big,red,formal,red,short_sleeve,black,long,clothes,6,8,no,57.0,5.0,10.0,2.918930577,101.6994197,3.0,2015-11-28 13:01:41,Saturday,30,10.94
chinese,male,moderate,49.0,no,no_kids,big,white,casual,white,short_sleeve,black,short,clothes,6,8,yes,18.0,3.0,17.0,2.916256362,101.6290349,1.0,2015-11-28 13:01:41,Saturday,30,10.94
malay,female,fat,46.0,no,no_kids,big,black,casual,orange,long sleeve,white,long,clothes,6,9,no,35.0,4.0,14.0,2.921514148,101.688213,1.0,2015-11-28 14:50:23,Saturday,35,10.94
chinese,female,moderate,52.0,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,short,clothes,4,7,no,19.0,1.0,19.0,2.968009855,101.722093,1.0,2015-11-28 14:53:57,Saturday,35,10.94
indian,female,fat,55.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,9,no,26.0,2.0,11.0,2.956438008,101.6908981,2.0,2015-11-28 14:53:57,Saturday,35,10.94
indian,female,moderate,44.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,8,no,36.0,3.0,9.0,2.919716262,101.7380717,1.0,2015-11-28 14:56:42,Saturday,35,10.94
indian,female,moderate,55.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,8,no,11.0,4.0,19.0,2.957823618,101.7397833,3.0,2015-11-28 14:58:17,Saturday,35,10.94
indian,female,moderate,29.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,10,no,48.0,4.0,13.0,2.90410938,101.744252,2.0,2015-11-28 14:58:17,Saturday,35,10.94
indian,female,moderate,32.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,10,no,29.0,2.0,11.0,2.912415375,101.7295008,3.0,2015-11-28 14:58:17,Saturday,35,10.94
indian,female,moderate,53.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,10,no,46.0,2.0,8.0,2.957241351,101.6677904,2.0,2015-11-28 15:01:51,Saturday,35,10.94
indian,female,fat,35.0,yes,young,big,black,casual,white,short_sleeve,black,short,clothes,5,9,yes,55.0,0.0,10.0,2.9193668,101.6732867,1.0,2015-11-28 15:01:51,Saturday,35,10.94
chinese,male,moderate,54.0,no,no_kids,big,red,casual,yellow,short_sleeve,black,long,clothes,4,8,yes,32.0,2.0,20.0,2.960956877,101.705177,2.0,2015-11-28 16:16:37,Saturday,35,10.94
foreigner ,male,fat,54.0,no,no_kids,big,red,formal,blue,long sleeve,black,long,blankets,4,10,no,42.0,3.0,21.0,2.916161793,101.6329052,1.0,2015-11-28 18:01:45,Saturday,35,10.94
chinese,male,fat,40.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,6,9,yes,12.0,1.0,8.0,2.917113839,101.6721468,1.0,2015-11-28 18:39:28,Saturday,35,10.94
foreigner ,male,fat,28.0,no,no_kids,big,white,traditional,grey,long sleeve,grey,long,clothes,4,7,no,40.0,2.0,14.0,2.93648461,101.7437368,3.0,2015-11-28 18:39:28,Saturday,35,10.94
indian,male,fat,38.0,yes,young,big,purple,casual,red,short_sleeve,black,long,blankets,6,10,yes,56.0,0.0,14.0,2.966765123,101.6565403,1.0,2015-11-28 19:20:54,Saturday,45,10.94
chinese,male,moderate,37.0,no,no_kids,big,red,casual,white,short_sleeve,blue,short,clothes,3,10,yes,57.0,1.0,21.0,2.918093308,101.7189174,3.0,2015-11-28 19:20:54,Saturday,45,10.94
foreigner ,male,fat,55.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,blankets,6,7,no,51.0,3.0,10.0,2.937165184,101.7462031,1.0,2015-11-28 19:37:03,Saturday,45,10.94
indian,female,fat,47.0,no,no_kids,big,white,formal,white,long sleeve,black,long,blankets,6,8,yes,21.0,1.0,20.0,2.9443521,101.7380468,2.0,2015-11-28 19:41:26,Saturday,45,10.94
chinese,female,moderate,53.0,no,no_kids,big,white,casual,red,short_sleeve,grey,long,clothes,5,8,no,33.0,0.0,11.0,2.951017612,101.6778879,2.0,2015-11-28 21:02:03,Saturday,75,10.94
indian,female,moderate,40.0,no,no_kids,big,white,casual,brown,long sleeve,black,long,blankets,6,7,yes,40.0,4.0,11.0,2.96161758,101.6793631,3.0,2015-11-28 21:02:03,Saturday,75,10.94
chinese,female,moderate,29.0,no,no_kids,big,blue,casual,grey,long sleeve,blue,long,clothes,4,10,no,60.0,1.0,7.0,2.911532141,101.7136628,1.0,2015-11-28 21:07:03,Saturday,75,10.94
chinese,male,fat,48.0,no,no_kids,big,pink,casual,white,short_sleeve,black,short,clothes,5,7,no,38.0,0.0,18.0,2.953016497,101.6956509,1.0,2015-11-28 21:07:53,Saturday,75,10.94
indian,male,fat,39.0,no,no_kids,big,pink,casual,black,short_sleeve,blue_jeans,long,clothes,5,7,no,39.0,2.0,16.0,2.952553114,101.6422005,1.0,2015-11-28 21:44:36,Saturday,75,10.94
indian,male,fat,46.0,no,no_kids,big,pink,casual,white,short_sleeve,white,short,clothes,5,8,no,41.0,4.0,20.0,2.942448724,101.6682981,1.0,2015-11-28 22:12:27,Saturday,90,10.94
indian,male,moderate,55.0,no,no_kids,big,white,formal,blue,short_sleeve,black,long,clothes,6,8,no,18.0,5.0,18.0,2.962770274,101.631379,1.0,2015-11-28 23:04:39,Saturday,100,10.94
indian,male,moderate,38.0,no,no_kids,big,green,casual,white,short_sleeve,brown,long,clothes,3,9,no,31.0,2.0,11.0,2.933335195,101.72351,3.0,2015-11-28 23:04:39,Saturday,100,10.94
indian,male,fat,41.0,no,no_kids,big,white,casual,red,short_sleeve,black,short,clothes,3,7,no,46.0,5.0,8.0,2.910158031,101.6554901,3.0,2015-11-28 23:04:39,Saturday,100,10.94
indian,male,fat,35.0,no,no_kids,big,black,casual,green,short_sleeve,grey,long,clothes,4,8,no,42.0,1.0,20.0,2.94252653,101.6488364,1.0,2015-11-28 23:14:19,Saturday,100,10.94
indian,female,thin,44.0,no,no_kids,big,red,casual,grey,short_sleeve,white,short,clothes,5,9,no,27.0,3.0,11.0,2.958719478,101.6452496,3.0,2015-11-28 23:18:29,Saturday,100,10.94
chinese,female,moderate,51.0,yes,young,big,white,casual,green,short_sleeve,pink,short,clothes,6,7,no,26.0,4.0,20.0,2.957438106,101.7368256,1.0,2015-11-29 00:09:18,Sunday,65,5.32
chinese,male,fat,53.0,no,no_kids,big,red,casual,blue,short_sleeve,green,short,clothes,3,9,yes,32.0,1.0,16.0,2.925112052,101.7267215,2.0,2015-11-29 01:25:34,Sunday,70,5.32
chinese,male,fat,43.0,no,no_kids,big,blue,casual,black,short_sleeve,white,short,clothes,3,7,no,57.0,0.0,16.0,2.957848499,101.6967363,1.0,2015-11-29 01:25:34,Sunday,70,5.32
foreigner ,male,thin,44.0,no,no_kids,small,brown,casual,grey,short_sleeve,brown,short,clothes,5,7,no,27.0,0.0,13.0,2.913288621,101.7112219,1.0,2015-11-29 01:25:34,Sunday,70,5.32
chinese,female,moderate,47.0,no,no_kids,big,white,casual,white,short_sleeve,red,short,clothes,6,9,no,40.0,2.0,16.0,2.960791108,101.7074753,1.0,2015-11-29 02:12:22,Sunday,70,5.32
chinese,female,moderate,38.0,no,no_kids,big,white,casual,white,short_sleeve,red,short,clothes,6,9,no,34.0,2.0,8.0,2.970201418,101.7199936,2.0,2015-11-29 02:12:22,Sunday,70,5.32
foreigner ,male,thin,39.0,no,no_kids,small,brown,formal,grey,short_sleeve,brown,short,clothes,5,10,no,12.0,5.0,20.0,2.942797402,101.703617,2.0,2015-11-29 02:44:59,Sunday,70,5.32
foreigner ,male,fat,54.0,no,no_kids,big,white,formal,orange,short_sleeve,brown,short,blankets,3,7,no,39.0,5.0,19.0,2.931741434,101.642257,3.0,2015-11-29 03:24:52,Sunday,70,5.32
foreigner ,male,fat,50.0,no,no_kids,big,white,casual,green,short_sleeve,black,short,clothes,3,8,no,17.0,5.0,19.0,2.953802122,101.6832687,2.0,2015-11-29 03:36:20,Sunday,70,5.32
chinese,female,moderate,42.0,yes,baby,big,white,casual,white,short_sleeve,red,short,blankets,6,10,no,32.0,4.0,19.0,2.942748198,101.7129786,3.0,2015-11-29 03:36:20,Sunday,70,5.32
chinese,female,moderate,39.0,yes,toddler,big,white,casual,purple,short_sleeve,purple,short,blankets,6,10,no,23.0,1.0,19.0,2.917192203,101.6881944,2.0,2015-11-29 03:47:21,Sunday,70,5.32
chinese,female,moderate,47.0,yes,baby,big,white,formal,white,short_sleeve,black,short,blankets,6,10,no,36.0,2.0,7.0,2.909727641,101.6732785,1.0,2015-11-29 03:47:21,Sunday,70,5.32
chinese,female,moderate,54.0,yes,toddler,big,pink,casual,white,short_sleeve,red,short,blankets,3,10,no,23.0,2.0,20.0,2.914832576,101.6571906,3.0,2015-11-29 03:47:21,Sunday,70,5.32
chinese,female,moderate,44.0,yes,baby,big,blue,formal,orange,short_sleeve,red,short,blankets,6,10,no,35.0,1.0,7.0,2.904473873,101.7428557,2.0,2015-11-29 03:47:21,Sunday,70,5.32
chinese,female,moderate,35.0,yes,baby,big,black,formal,orange,short_sleeve,red,short,clothes,6,8,no,21.0,4.0,16.0,2.910613335,101.7269948,2.0,2015-11-29 04:01:54,Sunday,50,5.32
chinese,female,moderate,29.0,no,no_kids,big,white,casual,pink,short_sleeve,blue_jeans,short,clothes,4,10,no,41.0,4.0,16.0,2.963817969,101.6643759,1.0,2015-11-29 04:02:14,Sunday,50,5.32
indian,female,fat,43.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,10,no,33.0,0.0,11.0,2.951126262,101.6804765,1.0,2015-11-29 04:02:14,Sunday,50,5.32
chinese,female,moderate,39.0,yes,toddler,big,black,casual,orange,short_sleeve,black,short,blankets,3,10,no,35.0,2.0,21.0,2.948978846,101.629442,1.0,2015-11-29 04:02:14,Sunday,50,5.32
chinese,female,moderate,46.0,yes,baby,big,black,formal,pink,short_sleeve,black,long,blankets,4,7,yes,17.0,2.0,15.0,2.918637021,101.7120882,1.0,2015-11-29 04:02:14,Sunday,50,5.32
malay,female,fat,45.0,no,no_kids,big,black,casual,orange,short_sleeve,black,long,clothes,5,9,no,41.0,4.0,15.0,2.913787003,101.6969076,1.0,2015-11-29 04:02:14,Sunday,50,5.32
chinese,female,moderate,47.0,yes,baby,big,grey,formal,white,short_sleeve,white,short,blankets,4,10,no,21.0,5.0,19.0,2.907125759,101.7149214,1.0,2015-11-29 04:02:14,Sunday,50,5.32
indian,female,fat,49.0,no,no_kids,big,white,formal,purple,long sleeve,black,long,clothes,6,7,no,17.0,4.0,9.0,2.961989377,101.743933,2.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,moderate,39.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,7,no,45.0,5.0,13.0,2.962255283,101.6477195,2.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,fat,29.0,no,no_kids,big,pink,casual,white,short_sleeve,white,long,clothes,4,9,no,19.0,2.0,9.0,2.927312308,101.7270998,1.0,2015-11-29 04:03:48,Sunday,50,5.32
chinese,female,moderate,34.0,no,no_kids,big,white,casual,white,short_sleeve,black,short,clothes,6,8,no,13.0,3.0,9.0,2.941888072,101.720573,2.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,moderate,39.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,10,no,59.0,5.0,21.0,2.969259866,101.7350549,3.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,moderate,42.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,8,no,18.0,3.0,19.0,2.932734692,101.639821,3.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,moderate,40.0,yes,young,small,white,traditional,white,short_sleeve,blue,long,clothes,5,9,no,43.0,2.0,16.0,2.931441416,101.6920606,3.0,2015-11-29 04:03:48,Sunday,50,5.32
indian,female,fat,37.0,yes,young,big,black,casual,black,short_sleeve,black,short,clothes,5,9,yes,22.0,0.0,15.0,2.966404153,101.6634601,1.0,2015-11-29 04:03:48,Sunday,50,5.32
chinese,male,moderate,28.0,no,no_kids,big,red,casual,yellow,short_sleeve,black,long,clothes,6,8,no,13.0,4.0,7.0,2.938481407,101.6517113,3.0,2015-11-29 04:03:48,Sunday,50,5.32
foreigner ,male,fat,32.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,blankets,4,7,no,43.0,0.0,8.0,2.909098192,101.6388981,2.0,2015-11-29 04:04:37,Sunday,50,5.32
foreigner ,male,fat,51.0,no,no_kids,big,white,traditional,grey,long sleeve,grey,long,clothes,4,7,no,48.0,1.0,15.0,2.961194604,101.7051995,1.0,2015-11-29 04:04:37,Sunday,50,5.32
